organization_name,address,phone_number,revenue,id,notes,created_date,city,state,country,zip
Tazz,9 Towne Lane,846-706-2047,Lek,1,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,1688284918,Kthella e Epërme,,Albania,
Photobug,1 Hazelcrest Alley,343-287-0841,Euro,2,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",1695364519,Dijon,Bourgogne,France,21072 CEDEX
Realmix,09 Arapahoe Way,694-352-5844,Yuan Renminbi,3,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,1680518410,Anchang,,China,
Oyoyo,33372 Messerschmidt Lane,583-209-1832,Rupee,4,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",1666602555,Dera Murād Jamāli,,Pakistan,49090
Ozu,57214 Tomscot Drive,286-315-1846,Rufiyaa,5,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",1695365388,Open Stage,,Maldives,
Feedfish,95834 4th Terrace,626-127-6090,Shekel,6,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,1682318168,Khallat ad Dār,,Palestinian Territory,
Meedoo,53 Commercial Lane,539-223-0624,Ruble,7,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",1669038228,Kokoshkino,,Russia,601136
Devbug,72 Heffernan Street,615-374-1179,Dinar,8,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",1678641243,Masākin,,Tunisia,
Eare,03 Merrick Lane,607-100-5653,Yuan Renminbi,9,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",1693274083,Qizili,,China,
Feedfire,9905 Bluejay Pass,292-771-4616,Lempira,10,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",1688351169,Las Vegas,,Honduras,
